Timestamp,Delta,Theta,Alpha,Beta
2026-02-11 12:14:53.162606,0.0,0.0,0.0,0.0
2026-02-11 12:14:55.165332,0.8969340318190658,0.07192856242441946,0.016750656750126915,0.006392780408785909
2026-02-11 12:14:55.245338,0.49563802347371755,0.0883104778755904,0.07797794927162259,0.15195076510030248
2026-02-11 12:14:55.283937,0.49563802347371755,0.0883104778755904,0.07797794927162259,0.15195076510030248
2026-02-11 12:14:55.336084,0.5188911037425069,0.0799347064608896,0.07509631919650774,0.14311031841767807
2026-02-11 12:14:55.381942,0.5630647601132518,0.07187689558797515,0.06736790450868073,0.12791498008903646
2026-02-11 12:14:55.424751,0.6170982626896155,0.06695172170802183,0.05726531906662627,0.10921115230750485
2026-02-11 12:14:55.471016,0.6703226007865558,0.0665233581336443,0.047686264189981176,0.0902119866441281
2026-02-11 12:14:55.518009,0.7159828513778209,0.06939589215878202,0.040469493937391895,0.07345491072244943
2026-02-11 12:14:55.564020,0.7496984041847313,0.07407803332392357,0.0362200372486794,0.06061227385364062
2026-02-11 12:14:55.611002,0.7754976267366814,0.08349529743240419,0.03465637961264958,0.04943422617791224
2026-02-11 12:14:55.657235,0.7754976267366814,0.08349529743240419,0.03465637961264958,0.04943422617791224
2026-02-11 12:14:55.703778,0.7683107712711486,0.08674344216150338,0.03595296842993534,0.051254231673302016
2026-02-11 12:14:55.751023,0.7493889947475741,0.08909600096269188,0.03816042555113342,0.05753847820633333
2026-02-11 12:14:55.798759,0.7205224443849637,0.09018052479315913,0.04107518292102566,0.06760945279700152
2026-02-11 12:14:55.846732,0.6843546326829844,0.08942582983085771,0.04437631627944321,0.08046608079322039
2026-02-11 12:14:55.891940,0.6440246235988824,0.08733462592841687,0.04785097978487622,0.09483355894893865
2026-02-11 12:14:55.955405,0.5641057041152777,0.08159490330921293,0.054831745705197873,0.12270491512844019
2026-02-11 12:14:55.999696,0.5641057041152777,0.08159490330921293,0.054831745705197873,0.12270491512844019
2026-02-11 12:14:56.049043,0.5013249689500577,0.07695727842826787,0.06261031311348543,0.14162704624801448
2026-02-11 12:14:56.094671,0.4827017316250331,0.07465831831752769,0.0677983697598363,0.14493800389854522
2026-02-11 12:14:56.141274,0.4751333047003754,0.07132688140203744,0.0746774884089928,0.14346428336505412
2026-02-11 12:14:56.186677,0.4733695045698317,0.06707662140248122,0.08403772202399755,0.13904014190807829
2026-02-11 12:14:56.250609,0.4676904767412627,0.06269898141263466,0.0961516101840346,0.13480705632737772
2026-02-11 12:14:56.297519,0.4503440642053974,0.05862745630479386,0.1104447519504863,0.13305407392689989
2026-02-11 12:14:56.346542,0.4174590045045781,0.055475329187778574,0.12564767170930208,0.13432242306778805
2026-02-11 12:14:56.390055,0.3711859147165011,0.05366643613451139,0.1397551271385738,0.1374787344854465
2026-02-11 12:14:56.451828,0.3180201936692845,0.05367966314713594,0.150186162601646,0.14059062767692776
2026-02-11 12:14:56.500412,0.26827953970555407,0.05545682792212313,0.15429764557733178,0.1415514236178658
2026-02-11 12:14:56.548302,0.23155528046801258,0.05888022977660097,0.1508799329651006,0.13927789799978266
2026-02-11 12:14:56.593428,0.21541431639115582,0.06343270719210307,0.1405020296977926,0.13364324051120227
2026-02-11 12:14:56.639029,0.22508196262774594,0.0682909642694935,0.12514418526712082,0.12541972194699083
2026-02-11 12:14:56.703217,0.31268562228925567,0.07570808264064473,0.09192141011322894,0.10867301508868306
2026-02-11 12:14:56.750463,0.3716652094591373,0.07670285280723203,0.07918780324490073,0.10364119140088014
2026-02-11 12:14:56.798548,0.4292335244654635,0.07551762933110719,0.06975568921616043,0.10077319898503574
2026-02-11 12:14:56.844617,0.48072944994501393,0.07244050201649477,0.06314527819155502,0.09878717981200007
2026-02-11 12:14:56.891439,0.5228358868699198,0.06850119619772112,0.05915718827515437,0.09665575631946106
2026-02-11 12:14:56.942860,0.5228358868699198,0.06850119619772112,0.05915718827515437,0.09665575631946106
